caller_name,caller_fullName,caller_file,call_line,callee,call_file,callee_kind,resolved_defs
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3545,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3551,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3551,<operator>.lessThan,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3551,<operator>.subtraction,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3551,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOSConfig.h:configMAX_TASK_NAME_LEN:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3551,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:taskRESERVED_TASK_NAME_LENGTH:unsigned int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,function,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3551,<operator>.postIncrement,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3556,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3556,<operator>.indirectIndexAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3556,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:configIDLE_TASK_NAME:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
